YEAR;PM04902AA
1950;581.949347960999
1951;309.806163114045
1952;299.203884972762
1953;203.656490784252
1954;643.180256926897
1955;974.69806365547
1956;789.85727138679
1957;747.068009175149
1958;620.888018120223
1959;887.33812362865
1960;1067.45803028556
1961;1032.26809246229
1962;988.581267844
1963;1045.12636620722
1964;953.202172208389
1965;998.640752439156
1966;1353.13332857674
1967;1755.94814946713
1968;2013.10622720484
1969;2332.66324776925
1970;1776.61173600319
1971;1530.16108374505
1972;1363.76219640712
1973;2100.34729664323
1974;2210.9176137517
1975;1787.04642458068
1976;2464.67985942462
1977;3102.39713814017
1978;4937.09110555737
1979;6296.8934381904
1980;5443.0908847269
1981;5198.29824086568
1982;5085.5457296959
1983;6321.78184955352
1984;6066.63448610671
1985;7144.65250684536
1986;5590.50640936783
1987;5156.32151262245
1988;6499.85221259381
1989;5676.6168200219
1990;-4923.90648198473
1991;-3401.12973344929
1992;-3274.91832127703
1993;-4138.58258528589
1994;-7763.68832628607
1995;-8955.21212809103
1996;-6726.47524914427
1997;-6548.98066808638
1998;-4425.85937082107
1999;-4485.37420468313
2000;-5610.87994614399
2001;-4311.77150407956
2002;-5632.62541149907
2003;-8024.38503396497
2004;-12926.9992763497
2005;-17170.8325580177
2006;-24946.6489165378
2007;-25630.2402508771
2008;-23995.7199101328
2009;-23098.3567448543
2010;-28840.0095630568
2011;-33386.6706052635
2012;-30440.7060511708
2013;-27731.1931368301
2014;-23081.0889463234
2015;-19147.999129904
2016;-22144.5542686547
2017;-26459.3035194375
2018;-27066.0514175146
2019;-22446.8875848312
2020;-14748.8775165815
2021;-46048.2056891399
