YEAR;PM04901AA
1950;40920.0
1951;44711.0
1952;47347.0
1953;50085.0
1954;52762.0
1955;55858.0
1956;58484.0
1957;62371.0
1958;61706.0
1959;63653.0
1960;69946.0
1961;75085.0
1962;82620.0
1963;86196.0
1964;91840.0
1965;97003.0
1966;104995.0
1967;109040.0
1968;109206.0
1969;113044.0
1970;116849.0
1971;122213.0
1972;126463.0
1973;134401.0
1974;147017.0
1975;153340.0
1976;155559.0
1977;156102.0
1978;151977.0
1979;158194.0
1980;167596.0
1981;176901.0
1982;176507.0
1983;158136.0
1984;163842.0
1985;167219.0
1986;182981.0
1987;200778.0
1988;181822.0
1989;159436.0
1990;151492.0
1991;154854.0
1992;154017.0
1993;162093.0
1994;182043.671320207
1995;195535.99143694
1996;201009.289724016
1997;214028.291389057
1998;213189.993392589
1999;216376.740630514
2000;222206.707348694
2001;223579.575750618
2002;235772.947128979
2003;245592.61375299
2004;257769.786233073
2005;273971.153886791
2006;294597.830810429
2007;319693.0
2008;348870.0
2009;352693.0
2010;382081.0
2011;406256.0
2012;431199.0
2013;456435.0
2014;467308.0
2015;482506.0
2016;501581.0
2017;514215.0
2018;534665.0
2019;546605.0
2020;486402.0862783
2021;551829.119781879
