YEAR;PM04904AA
1950;-1623.11621505616
1951;-2059.92883783221
1952;-1670.00658830074
1953;-1260.18914774203
1954;-1498.30145293263
1955;-1824.48243050242
1956;-2077.42352573589
1957;-2158.85733548299
1958;-1416.82324993285
1959;-1656.3222927623
1960;-1969.21576328309
1961;-1985.63923174071
1962;-2407.69677829829
1963;-2678.85270460515
1964;-3240.46927558695
1965;-3337.30571324875
1966;-4642.72333714692
1967;-3984.95184972079
1968;-4139.73097793478
1969;-5000.36644175361
1970;-5252.79567117741
1971;-3697.35100935037
1972;-3071.76195322546
1973;-4554.55126298203
1974;-6184.68004792822
1975;-4681.24840337166
1976;-3912.94192026848
1977;-3994.69714852901
1978;-3061.14691720565
1979;-7080.53627618384
1980;-6815.2640706101
1981;-4723.07601592085
1982;-4471.20935530601
1983;-4642.59349144028
1984;-4465.98045928659
1985;-3834.27594137773
1986;-1896.4420320495
1987;-1846.63244781012
1988;-2025.05289219575
1989;-1678.75282750955
1990;1552.19456223257
1991;831.15623102748
1992;476.710781873782
1993;-1069.69056645448
1994;-21308.2027611076
1995;-19854.8587188035
1996;-23193.9942980969
1997;-23688.4184558275
1998;-25047.5878921664
1999;-29719.6213649966
2000;-32039.5940660042
2001;-33185.725712051
2002;-30925.9456171281
2003;-32425.9881285
2004;-27692.4282617954
2005;-26858.673346213
2006;-5296.99805308642
2007;-47.3571519607649
2008;-13310.4962122666
2009;-15146.8406693824
2010;4044.26182996744
2011;13132.8801695647
2012;10230.8588659818
2013;2283.94826104111
2014;-3706.07209587122
2015;-12513.9644382645
2016;-13436.0023034132
2017;-4710.27614860114
2018;-5673.24939378236
2019;-7994.67352337767
2020;4700.53328360059
2021;20360.5128429133
