YEAR;PM04903AA
1950;41501.949347961
1951;45020.806163114
1952;47646.2038849728
1953;50288.6564907843
1954;53405.1802569269
1955;56832.6980636555
1956;59273.8572713868
1957;63118.0680091751
1958;62326.8880181202
1959;64540.3381236287
1960;71013.4580302856
1961;76117.2680924623
1962;83608.581267844
1963;87241.1263662072
1964;92793.2021722084
1965;98001.6407524392
1966;106348.133328577
1967;110795.948149467
1968;111219.106227205
1969;115376.663247769
1970;118625.611736003
1971;123743.161083745
1972;127826.762196407
1973;136501.347296643
1974;149227.917613752
1975;155127.046424581
1976;158023.679859425
1977;159204.39713814
1978;156914.091105557
1979;164490.89343819
1980;173039.090884727
1981;182099.298240866
1982;181592.545729696
1983;164457.781849554
1984;169908.634486107
1985;174363.652506845
1986;188571.506409368
1987;205934.321512622
1988;188321.852212594
1989;165112.616820022
1990;146568.093518015
1991;151452.870266551
1992;150742.081678723
1993;157954.417414714
1994;174279.982993921
1995;186580.779308849
1996;194282.814474872
1997;207479.310720971
1998;208764.134021768
1999;211891.366425831
2000;216595.82740255
2001;219267.804246539
2002;230140.32171748
2003;237568.228719025
2004;244842.786956723
2005;256800.321328773
2006;269651.181893891
2007;294062.759749123
2008;324874.280089867
2009;329594.643255146
2010;353240.990436943
2011;372869.329394737
2012;400758.293948829
2013;428703.80686317
2014;444226.911053677
2015;463358.000870096
2016;479436.445731345
2017;487755.696480562
2018;507598.948582485
2019;524158.112415169
2020;471653.208761718
2021;505780.914092739
