YEAR;PM04906AA
1950;29.1215166986269
1951;27.1878378296446
1952;66.577865856839
1953;87.9065218077606
1954;156.962538772088
1955;143.890484907739
1956;195.142426798887
1957;282.777867359975
1958;259.863129149894
1959;183.194063943255
1960;333.896517546527
1961;415.574172193493
1962;267.930210482834
1963;272.008600550295
1964;195.742752430776
1965;279.07385972585
1966;292.299200617624
1967;350.792071100893
1968;489.139986365665
1969;395.026115914993
1970;862.777649366405
1971;386.640317942708
1972;349.176603150671
1973;340.880689630881
1974;312.578007461447
1975;436.833570453055
1976;492.935971884925
1977;683.579030437663
1978;993.532265824238
1979;1028.0642348066
1980;400.615544572148
1981;387.293902018085
1982;395.573125325396
1983;586.523301450964
1984;596.088340360551
1985;575.709363950579
1986;532.089877351838
1987;463.888350000529
1988;697.641478728286
1989;592.123590933883
1990;795.454054108951
1991;1142.58250387466
1992;1050.21388873349
1993;1317.16925758852
1994;3165.53768082897
1995;3006.14374452955
1996;3230.00616745755
1997;3418.9295337751
1998;3618.79837170492
1999;3802.35887293036
2000;3984.57913508984
2001;4066.54089297616
2002;3987.57239978749
2003;4565.22241287147
2004;5084.43991179619
2005;6003.35218250592
2006;7239.61840388737
2007;9260.23296686684
2008;9398.72575403441
2009;9446.26855450677
2010;9215.09908223513
2011;9406.66796597278
2012;9619.56628796852
2013;9771.42572990452
2014;12138.082947481
2015;10615.9066066959
2016;12529.5681621982
2017;12281.9020553994
2018;11292.1559469375
2019;11726.3805614241
2020;11922.8519000341
2021;13619.5267117407
